symbol,entry_dt,entry_price,exit_dt,exit_price,side,qty,pnl,pnl_after_costs,reason
SYNTH,2018-10-15,14.366419294990724,2018-10-15,14.0,long,539,-9875.00000000001,-12570.00000000001,stop
SYNTH,2018-11-19,14.875438596491229,2018-11-19,14.25,long,285,-8912.50000000001,-10337.50000000001,stop
SYNTH,2018-11-30,13.748161764705882,2018-11-30,14.25,short,408,-10237.500000000004,-12277.500000000004,stop
SYNTH,2018-12-24,14.624517374517374,2018-12-24,14.25,long,259,-4849.999999999998,-6144.999999999998,channel_exit
SYNTH,2019-01-04,13.75,2019-01-04,14.25,short,151,-3775.0,-4530.0,stop
SYNTH,2019-01-21,13.75,2019-01-21,14.25,short,320,-8000.0,-9600.0,stop
SYNTH,2019-02-08,14.747668997668997,2019-02-08,14.5,long,429,-5312.49999999999,-7457.49999999999,stop
SYNTH,2019-03-07,15.123674911660778,2019-03-07,14.75,long,283,-5287.500000000013,-6702.500000000013,channel_exit
SYNTH,2019-03-25,14.75,2019-03-25,14.75,short,567,0.0,-2835.0,channel_exit
SYNTH,2019-04-12,14.25,2019-04-12,14.75,short,294,-7350.0,-8820.0,stop
SYNTH,2019-04-22,15.247297297297298,2019-04-22,15.0,long,370,-4575.000000000005,-6425.000000000005,stop
SYNTH,2019-05-02,13.623170731707317,2019-05-02,13.75,short,410,-2600.0000000000023,-4650.000000000002,stop
SYNTH,2019-06-13,12.880281690140846,2019-06-13,12.5,short,355,6750.000000000015,4975.000000000015,channel_exit
SYNTH,2019-06-24,12.993079584775087,2019-06-24,12.5,long,289,-7125.000000000005,-8570.000000000004,stop
SYNTH,2019-07-10,11.625621890547263,2019-07-10,12.0,short,201,-3762.500000000004,-4767.500000000004,stop
SYNTH,2019-08-14,11.122076023391813,2019-08-14,9.75,short,342,23462.5,21752.5,channel_exit
SYNTH,2019-09-09,8.75,2019-09-09,9.25,short,129,-3225.0,-3870.0,stop
SYNTH,2019-09-18,8.75,2019-09-18,9.25,short,132,-3300.0,-3960.0,stop
SYNTH,2019-10-28,10.004225352112677,2019-10-28,9.75,long,355,-4512.500000000011,-6287.500000000011,stop
SYNTH,2019-11-19,9.129366812227074,2019-11-19,8.75,short,458,8687.499999999996,6397.499999999996,channel_exit
SYNTH,2019-12-06,9.622509960159363,2019-12-06,9.25,long,251,-4675.000000000002,-5930.000000000002,stop
SYNTH,2019-12-27,8.5,2019-12-27,9.0,short,521,-13025.0,-15630.0,channel_exit
SYNTH,2020-02-03,9.5,2020-02-03,9.75,long,493,6162.5,3697.5,channel_exit
SYNTH,2020-02-24,10.5,2020-02-24,10.0,long,122,-3050.0,-3660.0,stop
SYNTH,2020-03-23,10.5,2020-03-23,11.25,long,476,17850.0,15470.0,channel_exit
SYNTH,2020-04-15,11.0,2020-04-15,11.0,short,490,0.0,-2450.0,channel_exit
SYNTH,2020-05-07,10.5,2020-05-07,10.75,short,532,-6650.0,-9310.0,channel_exit
SYNTH,2020-05-25,11.0,2020-05-25,10.5,long,125,-3125.0,-3750.0,stop
SYNTH,2020-06-15,10.25,2020-06-15,10.5,short,527,-6587.5,-9222.5,channel_exit
SYNTH,2020-06-29,10.75,2020-06-29,10.25,long,128,-3200.0,-3840.0,stop
SYNTH,2020-07-10,10.0,2020-07-10,10.25,short,137,-1712.5,-2397.5,stop
SYNTH,2020-07-28,10.75,2020-07-28,10.5,long,499,-6237.5,-8732.5,channel_exit
SYNTH,2020-09-24,10.75,2020-09-24,10.5,long,592,-7400.0,-10360.0,channel_exit
SYNTH,2020-09-29,10.5,2020-09-29,10.75,short,133,-1662.5,-2327.5,stop
SYNTH,2020-10-07,11.0,2020-10-07,10.75,long,135,-1687.5,-2362.5,stop
SYNTH,2020-10-14,11.0,2020-10-14,10.75,long,129,-1612.5,-2257.5,stop
SYNTH,2020-11-02,11.0,2020-11-02,10.75,long,534,-6675.0,-9345.0,channel_exit
SYNTH,2020-12-28,10.75,2020-12-28,10.0,short,449,16837.5,14592.5,channel_exit
